Season Start,Season End,Team,GP,W,L,WIN%,Salary,Salary w/ Inflation
2015,2016,Phoenix Suns,82,23,59,0.28,68095365.0,73090409.0
2016,2017,Phoenix Suns,82,24,58,0.293,89754590.0,95387098.0
2017,2018,Phoenix Suns,82,21,61,0.256,92684083.0,96917295.0
2008,2009,Portland Trail Blazers,82,54,28,0.659,80260059.0,93951741.0
2009,2010,Portland Trail Blazers,82,50,32,0.61,56946258.0,67625668.0
2010,2011,Portland Trail Blazers,82,48,34,0.585,74584058.0,87647938.0
2011,2012,Portland Trail Blazers,66,28,38,0.424,80920717.0,91826552.0
2012,2013,Portland Trail Blazers,82,33,49,0.402,59442596.0,66349730.0
2013,2014,Portland Trail Blazers,82,54,28,0.659,61260350.0,67199740.0
2014,2015,Portland Trail Blazers,82,51,31,0.622,69936842.0,75159876.0
2015,2016,Portland Trail Blazers,82,44,38,0.537,61685814.0,66210692.0
2016,2017,Portland Trail Blazers,82,41,41,0.5,119732234.0,127245980.0
2017,2018,Portland Trail Blazers,82,49,33,0.598,118708146.0,124129975.0
2008,2009,Sacramento Kings,82,17,65,0.207,69204512.0,81010212.0
2009,2010,Sacramento Kings,82,25,57,0.305,67515718.0,80177273.0
2010,2011,Sacramento Kings,82,24,58,0.293,45268465.0,53197524.0
2011,2012,Sacramento Kings,66,22,44,0.33299999999999996,48950236.0,55547347.0
2012,2013,Sacramento Kings,82,28,54,0.341,54421935.0,60745677.0
2013,2014,Sacramento Kings,82,28,54,0.341,59174155.0,64911282.0
2014,2015,Sacramento Kings,82,29,53,0.354,73379071.0,78859179.0
2015,2016,Sacramento Kings,82,33,49,0.402,70610560.0,75790104.0
2016,2017,Sacramento Kings,82,32,50,0.39,95596327.0,101595433.0
2017,2018,Sacramento Kings,82,27,55,0.32899999999999996,99587185.0,104135688.0
2008,2009,San Antonio Spurs,82,54,28,0.659,68020487.0,79624200.0
2009,2010,San Antonio Spurs,82,50,32,0.61,79338309.0,94217014.0
2010,2011,San Antonio Spurs,82,61,21,0.7440000000000001,69522311.0,81699592.0
2011,2012,San Antonio Spurs,66,50,16,0.758,73732762.0,83669865.0
2012,2013,San Antonio Spurs,82,58,24,0.7070000000000001,69838600.0,77953731.0
2013,2014,San Antonio Spurs,82,62,20,0.7559999999999999,63115911.0,69235205.0
2014,2015,San Antonio Spurs,82,55,27,0.6709999999999999,70770209.0,76055480.0
2015,2016,San Antonio Spurs,82,67,15,0.8170000000000001,87832839.0,94275703.0
2016,2017,San Antonio Spurs,82,61,21,0.7440000000000001,112017779.0,119047406.0
2017,2018,San Antonio Spurs,82,47,35,0.573,114633844.0,119869587.0
2008,2009,Toronto Raptors,82,33,49,0.402,73446970.0,85976400.0
2009,2010,Toronto Raptors,82,40,42,0.488,67822433.0,80541508.0
2010,2011,Toronto Raptors,82,22,60,0.268,69992648.0,82252310.0
2011,2012,Toronto Raptors,66,23,43,0.348,55063049.0,62483997.0
2012,2013,Toronto Raptors,82,34,48,0.415,63708138.0,71110922.0
2013,2014,Toronto Raptors,82,48,34,0.585,71561643.0,78499777.0
2014,2015,Toronto Raptors,82,49,33,0.598,81317963.0,87390965.0
2015,2016,Toronto Raptors,82,56,26,0.6829999999999999,71591189.0,76842665.0
2016,2017,Toronto Raptors,82,51,31,0.622,108599970.0,115415114.0
2017,2018,Toronto Raptors,82,59,23,0.72,116929373.0,122269961.0
2008,2009,Utah Jazz,82,48,34,0.585,65841407.0,77073389.0
2009,2010,Utah Jazz,82,53,29,0.6459999999999999,71905244.0,85389991.0
2010,2011,Utah Jazz,82,39,43,0.47600000000000003,75855296.0,89141843.0
2011,2012,Utah Jazz,66,36,30,0.545,58178016.0,66018776.0
2012,2013,Utah Jazz,82,43,39,0.524,65657569.0,73286873.0
2013,2014,Utah Jazz,82,25,57,0.305,56911999.0,62429802.0
2014,2015,Utah Jazz,82,38,44,0.46299999999999997,60847538.0,65391761.0
2015,2016,Utah Jazz,82,40,42,0.488,63608425.0,68274335.0
2016,2017,Utah Jazz,82,51,31,0.622,80138192.0,85167228.0
2017,2018,Utah Jazz,82,48,34,0.585,105606838.0,110430283.0
2008,2009,Washington Wizards,82,19,63,0.23199999999999998,70743317.0,82811524.0
2009,2010,Washington Wizards,82,26,56,0.317,73440274.0,87212893.0
2010,2011,Washington Wizards,82,23,59,0.28,58324988.0,68540981.0
2011,2012,Washington Wizards,66,20,46,0.303,55386345.0,62850863.0
2012,2013,Washington Wizards,82,29,53,0.354,59715539.0,66654386.0
2013,2014,Washington Wizards,82,44,38,0.537,64698822.0,70971580.0
2014,2015,Washington Wizards,82,46,36,0.561,73372974.0,78852628.0
2015,2016,Washington Wizards,82,41,41,0.5,85055155.0,91294262.0
2016,2017,Washington Wizards,82,49,33,0.598,104016580.0,110544093.0
2017,2018,Washington Wizards,82,43,39,0.524,123306396.0,128938245.0
