Season,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB
2017-18,Indiana Pacers,105.6,40.8,86.4,47.2,9,24.5,36.9,14.9,19.2,77.9,9.6
2017-18,LA Clippers,109,40.3,85.4,47.1,9.5,26.8,35.4,19,25.5,74.3,10.1
2017-18,Los Angeles Lakers,108.1,40.7,88.4,46.1,10,29.1,34.5,16.6,23.3,71.4,10.7
2017-18,Memphis Grizzlies,99.3,36.7,82.8,44.4,9.2,26.2,35.2,16.6,21.1,78.6,9.5
2017-18,Miami Heat,103.4,38.8,85.3,45.5,11,30.6,36,14.7,19.5,75.5,9.3
2017-18,Milwaukee Bucks,106.5,39.7,83,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4
2017-18,Minnesota Timberwolves,109.5,41,86.1,47.6,8,22.5,35.7,19.4,24.1,80.4,10.3
2017-18,New Orleans Pelicans,111.7,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7
2017-18,New York Knicks,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19,78.7,10.5
2017-18,Oklahoma City Thunder,107.9,39.9,88.1,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5
2017-18,Orlando Magic,103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8
2017-18,Philadelphia 76ers,109.8,40.8,86.6,47.2,11,29.8,36.9,17.1,22.8,75.2,10.9
2017-18,Phoenix Suns,103.9,38.5,87.1,44.2,9.3,27.9,33.4,17.7,23.9,74.1,10.3
2017-18,Portland Trail Blazers,105.6,39.3,87,45.2,10.3,28.1,36.6,16.7,20.9,80,10.2
2017-18,Sacramento Kings,98.8,38.8,86.1,45,9,24,37.5,12.3,16.7,73.5,9.5
2017-18,San Antonio Spurs,102.7,39,85.4,45.7,8.5,24.1,35.2,16.1,20.9,77.2,10.4
2017-18,Toronto Raptors,111.7,41.3,87.4,47.2,11.8,33,35.8,17.3,21.8,79.4,9.8
2017-18,Utah Jazz,104.1,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9
2017-18,Washington Wizards,106.6,39.9,85.6,46.7,9.9,26.5,37.5,16.8,21.8,77.2,10
2016-17,Washington Wizards,109.2,41.3,87,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3
2016-17,Utah Jazz,100.7,37,79.5,46.6,9.6,26,37.2,17.1,22.9,74.7,9.4
2016-17,Toronto Raptors,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6
2016-17,San Antonio Spurs,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22,79.7,10
2016-17,Sacramento Kings,102.8,37.9,82.1,46.1,9,23.9,37.6,18.1,23.3,77.5,8.7
2016-17,Portland Trail Blazers,107.9,39.5,86.1,45.9,10.4,27.7,37.5,18.5,23.7,78,10.1
2016-17,Phoenix Suns,107.7,39.9,88.5,45,7.5,22.6,33.2,20.4,26.3,77.6,11.9
2016-17,Philadelphia 76ers,102.4,37.7,85.3,44.2,10.1,29.8,34,17,22,77.1,9.8
2016-17,Orlando Magic,101.1,38.3,87,44,8.5,26.1,32.8,16,21.4,74.7,9.8
2016-17,Oklahoma City Thunder,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2
2016-17,New York Knicks,104.3,39.6,88.5,44.7,8.6,24.7,34.8,16.6,21.1,78.8,12
2016-17,New Orleans Pelicans,104.3,39.1,87,45,9.4,26.8,35,16.7,22.3,75,8.6
2016-17,Minnesota Timberwolves,105.6,39.5,84.4,46.7,7.3,21,34.9,19.3,24.2,79.9,11.4
2016-17,Milwaukee Bucks,103.6,38.8,81.9,47.4,8.8,23.7,37,17.2,22.4,76.8,8.8
2016-17,Miami Heat,103.2,39,85.8,45.5,9.9,27,36.5,15.2,21.6,70.6,10.6
2016-17,Memphis Grizzlies,100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8
2016-17,Los Angeles Lakers,104.6,39.3,87.4,45,8.9,25.7,34.6,17,22.6,75.4,11.4
2016-17,LA Clippers,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26,74.5,9
2016-17,Indiana Pacers,105.1,39.3,84.5,46.5,8.6,23,37.6,17.9,22.1,81,9
2016-17,Houston Rockets,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9
2016-17,Golden State Warriors,115.9,43.1,87.1,49.5,12,31.2,38.3,17.8,22.6,78.8,9.4
